Time,HV Battery SOC (%),HV Battery Power (kW),HV Battery Current (A),G-Force (1),Vehicle Speed (km/hr) (km/hr)
00:00:10.8401,69.9995469400845,2.78396690291719,8.57805769280856,0.0866685489468219,1.56707350244133
00:00:10.8624,69.9995164279826,2.85444192173405,8.79520840455451,0.087072051777394,1.63552386840096
00:00:10.8847,69.9994851679469,2.92568694272634,9.01473171794093,0.0874910724793395,1.70426782617464
00:00:10.9070,69.9994532023226,2.98696810243772,9.20355406566763,0.0876995437818242,1.77324191256385
00:00:10.9293,69.999420640338,3.03601821431304,9.35468970237208,0.0876592735482493,1.84228267221557
00:00:10.9402,69.9994046596753,3.05771327766986,9.42153764625164,0.0876009468241787,1.87576367753796
00:00:10.9402,69.9994046596753,3.05774090720195,9.42162277937341,0.0876009467955708,1.87576367753831
00:00:10.9487,69.9993920162393,3.06674537603194,9.44936793566986,0.0873916500801021,1.90199853061841
00:00:10.9566,69.9993801693224,3.07161613814658,9.46437614860939,0.0871260328236546,1.92646704682662
00:00:10.9679,69.9993633677132,3.07661721673359,9.47978599988386,0.0867175087862929,1.96095008157892
00:00:10.9791,69.9993465452403,3.08198218012971,9.49631706799153,0.0863229752183404,1.99532054367026
00:00:10.9985,69.9993174823889,3.09899161488077,9.5487277658523,0.0858173935790888,2.05422500060298
00:00:11.0000,69.9993153244806,3.10107360435545,9.55514291357987,0.0857974077783332,2.05857469955631
00:00:11.0002,69.9993149271972,3.10151183334343,9.55649320919609,0.0857948588367,2.05937503545862
00:00:11.0011,69.9993135408977,3.10399458082157,9.56414317144055,0.0858054799563496,2.06216646558684
00:00:11.0021,69.9993121529671,3.10848510091969,9.57797955721062,0.085857063699861,2.06495897425717
00:00:11.0034,69.9993101170847,3.12008220854677,9.61371303762325,0.0860347989882044,2.06904990320252
00:00:11.0048,69.9993080714686,3.13809189796097,9.66920520351305,0.0863422600074528,2.0731524564796
00:00:11.0061,69.999306011997,3.16255266512543,9.74457467042361,0.0867790499243475,2.07727267970513
00:00:11.0079,69.9993032724483,3.20403486139862,9.87239121200312,0.0875374624365254,2.08273398394834
00:00:11.0112,69.999297975764,3.30818405708822,10.1932996987024,0.0894653454876727,2.0932140457972
00:00:11.0168,69.9992887736618,3.54278756384274,10.9161689625502,0.0937783185947376,2.11112427660817
00:00:11.0223,69.9992788569308,3.84290044296148,11.8408881949965,0.0991485011550444,2.12997414539549
00:00:11.0278,69.9992680781656,4.19051552632627,12.911973058054,0.105138632291931,2.14992251318836
00:00:11.0333,69.9992563348911,4.56660510947278,14.0707946954608,0.111350360929652,2.17105372096692
00:00:11.0389,69.9992435760395,4.95175297385533,15.2575271414315,0.117438254020561,2.193379548769
00:00:11.0444,69.9992298021737,5.32704759970473,16.413899519736,0.123116038536326,2.21684941818129
00:00:11.0499,69.9992150623014,5.6752248730765,17.4867169941927,0.128160212633407,2.24136264980555
00:00:11.0554,69.999199447761,5.98181712140612,18.4314012198312,0.132411267181507,2.2667810669464
00:00:11.0610,69.999183083514,6.23606819642666,19.2148099316759,0.135772148147963,2.2929413868179
00:00:11.0680,69.999161309622,6.47546216110414,19.9524406389422,0.138723042233197,2.32719154829964
00:00:11.0768,69.9991335262248,6.63742325907827,20.4514825724859,0.140383832894262,2.37027972588315
00:00:11.0856,69.9991053353271,6.66449054016156,20.5348845679278,0.140117777167083,2.4135925872042
00:00:11.0943,69.999077238648,6.58575575053952,20.2922851401244,0.138362663909584,2.45660956528563
00:00:11.1031,69.9990496053737,6.43835878118353,19.838121088245,0.135635720545524,2.49895022445952
00:00:11.1118,69.999022648733,6.26003101586294,19.288651778467,0.132458892149086,2.54039293986566
00:00:11.1206,69.9989964338312,6.0835048732741,18.744733605041,0.129296913881863,2.58086769767146
00:00:11.1293,69.9989709045135,5.93342634119169,18.2823067612552,0.126514911771794,2.62043214751249
00:00:11.1381,69.9989459189064,5.8254559931342,17.9496252462551,0.124356740414678,2.65923785013083
00:00:11.1468,69.9989212859173,5.76684916966618,17.7690445329002,0.122942142885024,2.69749277049043
00:00:11.1594,69.9988862512285,5.76608085914541,17.7666785313648,0.122177858054527,2.75168896085148
00:00:11.1719,69.9988509840307,5.84636492303369,18.0140543692043,0.122631361907462,2.80580651378618
00:00:11.1844,69.9988150856704,5.98059480811836,18.4276503132128,0.123870114823863,2.86027530527287
00:00:11.1969,69.998778322882,6.13777225115183,18.9119533049148,0.125413739225981,2.9153366907596
00:00:11.2094,69.9987406379135,6.28972532892894,19.3801588845491,0.126846041764728,2.97103885643575
00:00:11.2219,69.9987021174474,6.41633863376296,19.7702866253625,0.127887420727761,3.02727815231075
00:00:11.2344,69.9986629375041,6.50808632071257,20.0529850743868,0.128418744778756,3.08386275352723
00:00:11.2511,69.9986100346582,6.58024123609116,20.275314109397,0.128415811104796,3.1594708453664
00:00:11.2678,69.9985566905731,6.61331196820567,20.3772153832422,0.12787329400125,3.23493528359625
00:00:11.2844,69.9985031111339,6.63274421898174,20.4370932230416,0.127153518272153,3.31005157046832
00:00:11.3011,69.9984493238796,6.66040146641363,20.5223142979685,0.126560219183354,3.38479843395355
00:00:11.3178,69.9983952233209,6.70838488831235,20.6701652934956,0.126256371577467,3.45928800005229
00:00:11.3386,69.9983272323541,6.79675681609577,20.942463776863,0.126276057267076,3.55185089313568
00:00:11.3639,69.9982429008941,6.92797057804458,21.3467692443182,0.126612637022735,3.66498486540013
00:00:11.3892,69.9981569796247,7.06096207865997,21.7565525822364,0.126962796970391,3.77839268923824
00:00:11.4145,69.998069536046,7.17918260784196,22.1208231583197,0.127109396753614,3.89200300715507
