Time,HV Battery SOC (%),HV Battery Power (kW),HV Battery Current (A),G-Force (1),Vehicle Speed (km/hr) (km/hr)
00:01:03.5835,69.6650504663359,-7.05373946554497,-20.7462925457205,-0.0383224975765412,58.7913049661556
00:01:03.6009,69.6651074576077,-7.03736303987456,-20.6981265878664,-0.0382812743443688,58.7676664844839
00:01:03.6184,69.6651642754465,-7.00747161861506,-20.6102106429855,-0.0382034882225301,58.7440619009464
00:01:03.6359,69.6652208696177,-6.97901784558562,-20.5265230752518,-0.0381295311431783,58.7205015959374
00:01:03.6534,69.6652772853497,-6.96172733345388,-20.4756686278055,-0.0380857151924189,58.696976268294
00:01:03.6770,69.6653533744559,-6.95867975169691,-20.4667051520497,-0.0380814421911523,58.6652228156665
00:01:03.7059,69.6654467798612,-6.97203212177906,-20.5059768287619,-0.038122498142206,58.6262516582581
00:01:03.7349,69.6655403384222,-6.98570792258994,-20.5461997723234,-0.0381645086821251,58.5872438059064
00:01:03.7639,69.6656339894945,-6.98822257183787,-20.5535957995232,-0.0381763251204726,58.5482117442514
00:01:03.8009,69.6657537447124,-6.97880277639648,-20.5258905188132,-0.0381571845061058,58.4982797663101
00:01:03.8380,69.6658733506701,-6.96791457125434,-20.4938663860422,-0.0381340439324497,58.4483703037668
00:01:03.8750,69.6659928426188,-6.9636593000789,-20.481350882585,-0.0381289233499114,58.3984760414897
00:01:03.9282,69.6661643554441,-6.96416397545538,-20.4828352219276,-0.0381396094658359,58.326835838101
00:01:03.9814,69.6663358361376,-6.96315623355189,-20.4798712751526,-0.0381462538552082,58.2551847317083
00:01:04.0000,69.6663956673521,-6.96156951234334,-20.4752044480686,-0.0381452208177414,58.2301783895828
00:01:04.0080,69.6664215231799,-6.96827602631843,-20.4949294891719,-0.0381649410264937,58.219374092495
00:01:04.0160,69.6664474254099,-6.98586471748389,-20.5466609337761,-0.0382143640693006,58.2085597328144
00:01:04.0240,69.6664734073498,-7.01187338615308,-20.6231570180973,-0.0382867920597666,58.1977283719353
00:01:04.0320,69.666499491476,-7.04194404745415,-20.711600139571,-0.0383703462045358,58.186875321555
00:01:04.0462,69.6665459874332,-7.09181879822578,-20.858290583017,-0.0385091956514628,58.1675821942787
00:01:04.0636,69.6666031230768,-7.1338569205549,-20.9819321192791,-0.0386273622928732,58.14394585235
00:01:04.0809,69.6666604782744,-7.14808811090244,-21.0237885614778,-0.0386696261147012,58.1202617070843
00:01:04.1043,69.666737797722,-7.13232626088227,-20.9774301790655,-0.0386310703427916,58.088326486444
00:01:04.1277,69.6668148794588,-7.09937187576109,-20.8805055169444,-0.0385454231091432,58.056437138083
00:01:04.1512,69.6668916675524,-7.07298981480393,-20.8029112200116,-0.0384776844810796,58.024605374764
00:01:04.1746,69.6669682773483,-7.0644911310823,-20.7779150914185,-0.038458872503163,57.9928071453667
00:01:04.2047,69.6670671052322,-7.07309130670293,-20.8032097255968,-0.0384882263793967,57.9517817729447
00:01:04.2349,69.6671660573762,-7.086260042199,-20.8419413005853,-0.0385301809194201,57.9107242028364
00:01:04.2651,69.6672651099965,-7.09045498601279,-20.8542793706259,-0.0385475784913769,57.8696393606601
00:01:04.3019,69.667385629859,-7.08300038650796,-20.8323540779646,-0.0385342916136283,57.8196351974213
00:01:04.3472,69.66753426207,-7.07105087444016,-20.7972084542358,-0.0385103333014847,57.757917210906
00:01:04.3926,69.6676827405064,-7.06588281916425,-20.7820082916596,-0.0385050370022511,57.6962172084402
00:01:04.4508,69.6678732083916,-7.06536045934671,-20.780471939255,-0.0385151331394653,57.6170314570681
00:01:04.5000,69.6680338984347,-7.06364242550714,-20.7754188985504,-0.0385202002178611,57.5501972253502
00:01:04.5087,69.6680626896478,-7.0703156675055,-20.7950460808985,-0.0385403962309353,57.5382233260825
00:01:04.5175,69.6680915297173,-7.08689609185738,-20.8438120348747,-0.0385879756143546,57.526238580874
00:01:04.5263,69.6681204505325,-7.11060802612413,-20.9135530180121,-0.0386552899601558,57.5142362620944
00:01:04.5374,69.6681569539966,-7.14331135336194,-21.0097392745939,-0.0387479686342099,57.4991153955956
00:01:04.5541,69.6682121432883,-7.18444556848783,-21.1307222602583,-0.0388652107945576,57.4763087294816
00:01:04.5707,69.6682675715518,-7.20750283401371,-21.1985377470991,-0.0389325495046054,57.4534495782773
00:01:04.5922,69.6683391532973,-7.20809953877249,-21.2002927610956,-0.0389388086585669,57.4239467324223
00:01:04.6136,69.6684106471818,-7.18743693148399,-21.1395203867176,-0.0388861884877829,57.3944589691006
00:01:04.6351,69.668481933263,-7.16246532328384,-21.0660744802466,-0.038821576020939,57.3650116436493
00:01:04.6565,69.6685530274782,-7.14623543072064,-21.0183395021195,-0.0387811410288087,57.3356014162933
00:01:04.6830,69.6686407303284,-7.1431743357902,-21.0093362817359,-0.0387782760726985,57.2992935645499
00:01:04.7190,69.6687597137437,-7.15310204893263,-21.0385354380371,-0.0388135072682169,57.2500380441288
00:01:04.7549,69.6688788092131,-7.16084286428578,-21.061302542017,-0.0388427534737317,57.2007489921845
00:01:04.7909,69.6689979278185,-7.15773803358459,-21.0521706870135,-0.0388419055377618,57.1514451947837
00:01:04.8418,69.6691664623701,-7.14614503454728,-21.0180736310214,-0.0388206975333167,57.0816377336604
00:01:04.8927,69.6693348056361,-7.13853153491545,-20.9956809850454,-0.0388105823540405,57.0118509951606
00:01:04.9436,69.6695030429167,-7.13668303568323,-20.9902442225977,-0.0388165904903405,56.9420667662061
00:01:05.0000,69.6696891882185,-7.13448908474456,-20.9837914257193,-0.0388229046441434,56.8648166079614
